paragraph	chapter	sentences
58	I	En ce moment, on frappa à la porte du petit salon dans lequel se tenait Phileas Fogg.
59	I	James Forster, le congédié, apparut.
60	I	«Le nouveau domestique», dit-il.
61	I	Un garçon âgé d'une trentaine d'années se montra et salua.
62	I	«Vous êtes Français et vous vous nommez John?
62	I	lui demanda Phileas Fogg.
63	I	--Jean, n'en déplaise à monsieur, répondit le nouveau venu, Jean Passepartout, un surnom qui m'est resté, et que justifiait mon aptitude naturelle à me tirer d'affaire.
63	I	Je crois être un honnête garçon, monsieur, mais, pour être franc, j'ai fait plusieurs métiers.
63	I	J'ai été chanteur ambulant, écuyer dans un cirque, faisant de la voltige comme Léotard, et dansant sur la corde comme Blondin; puis je suis devenu professeur de gymnastique, afin de rendre mes talents plus utiles, et, en dernier lieu, j'étais sergent de pompiers, à Paris.
63	I	J'ai même dans mon dossier des incendies remarquables.
63	I	Mais voilà cinq ans que j'ai quitté la France et que, voulant goûter de la vie de famille, je suis valet de chambre en Angleterre.
63	I	Or, me trouvant sans place et ayant appris que M.
63	I	Phileas Fogg était l'homme le plus exact et le plus sédentaire du Royaume-Uni, je me suis présenté chez monsieur avec l'espérance d'y vivre tranquille et d'oublier jusqu'à ce nom de Passepartout...
64	I	--Passepartout me convient, répondit le gentleman.
64	I	Vous m'êtes recommandé.
64	I	J'ai de bons renseignements sur votre compte.
64	I	Vous connaissez mes conditions?
65	I	--Oui, monsieur.
66	I	--Bien.
66	I	Quelle heure avez-vous?
67	I	--Onze heures vingt-deux, répondit Passepartout, en tirant des profondeurs de son gousset une énorme montre d'argent.
68	I	--Vous retardez, dit Mr.
68	I	Fogg.
69	I	--Que monsieur me pardonne, mais c'est impossible.
70	I	--Vous retardez de quatre minutes.
70	I	N'importe.
70	I	Il suffit de constater l'écart.
70	I	Donc, à partir de ce moment, onze heures vingt-neuf du matin, ce mercredi 2 octobre 1872, vous êtes à mon service.»
71	I	Cela dit, Phileas Fogg se leva, prit son chapeau de la main gauche, le plaça sur sa tête avec un mouvement d'automate et disparut sans ajouter une parole.
72	I	Passepartout entendit la porte de la rue se fermer une première fois: c'était son nouveau maître qui sortait; puis une seconde fois: c'était son prédécesseur, James Forster, qui s'en allait à son tour.
73	I	Passepartout demeura seul dans la maison de Saville-row.
74	II	II
75	II	OÙ PASSEPARTOUT EST CONVAINCU QU'IL A ENFIN TROUVE SON IDEAL
76	II	«Sur ma foi, se dit Passepartout, un peu ahuri tout d'abord, j'ai connu chez Mme Tussaud des bonshommes aussi vivants que mon nouveau maître!»
77	II	Il convient de dire ici que les «bonshommes» de Mme Tussaud sont des figures de cire, fort visitées à Londres, et auxquelles il ne manque vraiment que la parole.
78	II	Pendant les quelques instants qu'il venait d'entrevoir Phileas Fogg, Passepartout avait rapidement, mais soigneusement examiné son futur maître.
78	II	C'était un homme qui pouvait avoir quarante ans, de figure noble et belle, haut de taille, que ne déparait pas un léger embonpoint, blond de cheveux et de favoris, front uni sans apparences de rides aux tempes, figure plutôt pâle que colorée, dents magnifiques.
78	II	Il paraissait posséder au plus haut degré ce que les physionomistes appellent «le repos dans l'action», faculté commune à tous ceux qui font plus de besogne que de bruit.
78	II	Calme, flegmatique, l'oeil pur, la paupière immobile, c'était le type achevé de ces Anglais à sang-froid qui se rencontrent assez fréquemment dans le Royaume-Uni, et dont Angelica Kauffmann a merveilleusement rendu sous son pinceau l'attitude un peu académique.
78	II	Vu dans les divers actes de son existence, ce gentleman donnait l'idée d'un être bien équilibré dans toutes ses parties, justement pondéré, aussi parfait qu'un chronomètre de Leroy ou de Earnshaw.
78	II	C'est qu'en effet, Phileas Fogg était l'exactitude personnifiée, ce qui se voyait clairement à «l'expression de ses pieds et de ses mains», car chez l'homme, aussi bien que chez les animaux, les membres eux-mêmes sont des organes expressifs des passions.
79	II	Phileas Fogg était de ces gens mathématiquement exacts, qui, jamais pressés et toujours prêts, sont économes de leurs pas et de leurs mouvements.
79	II	Il ne faisait pas une enjambée de trop, allant toujours par le plus court.
79	II	Il ne perdait pas un regard au plafond.
79	II	Il ne se permettait aucun geste superflu.
79	II	On ne l'avait jamais vu ému ni troublé.
79	II	C'était l'homme le moins hâté du monde, mais il arrivait toujours à temps.
79	II	Toutefois, on comprendra qu'il vécût seul et pour ainsi dire en dehors de toute relation sociale.
79	II	Il savait que dans la vie il faut faire la part des frottements, et comme les frottements retardent, il ne se frottait à personne.
80	II	Quant à Jean, dit Passepartout, un vrai Parisien de Paris, depuis cinq ans qu'il habitait l'Angleterre et y faisait à Londres le métier de valet de chambre, il avait cherché vainement un maître auquel il pût s'attacher.
81	II	Passepartout n'était point un de ces Frontins ou Mascarilles qui, les épaules hautes, le nez au vent, le regard assuré, l'oeil sec, ne sont que d'impudents drôles.
81	II	Non.
81	II	Passepartout était un brave garçon, de physionomie aimable, aux lèvres un peu saillantes, toujours prêtes à goûter ou à caresser, un être doux et serviable, avec une de ces bonnes têtes rondes que l'on aime à voir sur les épaules d'un ami.
81	II	Il avait les yeux bleus, le teint animé, la figure assez grasse pour qu'il pût lui-même voir les pommettes de ses joues, la poitrine large, la taille forte, une musculature vigoureuse, et il possédait une force herculéenne que les exercices de sa jeunesse avaient admirablement développée.
81	II	Ses cheveux bruns étaient un peu rageurs.
81	II	Si les sculpteurs de l'Antiquité connaissaient dix-huit façons d'arranger la chevelure de Minerve, Passepartout n'en connaissait qu'une pour disposer la sienne: trois coups de démêloir, et il était coiffé.
82	II	De dire si le caractère expansif de ce garçon s'accorderait avec celui de Phileas Fogg, c'est ce que la prudence la plus élémentaire ne permet pas.
82	II	Passepartout serait-il ce domestique foncièrement exact qu'il fallait à son maître?
82	II	On ne le verrait qu'à l'user.
82	II	Après avoir eu, on le sait, une jeunesse assez vagabonde, il aspirait au repos.
82	II	Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.
82	II	Mais, jusqu'alors, le sort l'avait mal servi.
82	II	Il n'avait pu prendre racine nulle part.
82	II	Il avait fait dix maisons.
82	II	Dans toutes, on était fantasque, inégal, coureur d'aventures ou coureur de pays,--ce qui ne pouvait plus convenir à Passepartout.
82	II	Son dernier maître, le jeune Lord Longsferry, membre du Parlement, après avoir passé ses nuits dans les «oysters-rooms» d'Hay-Market, rentrait trop souvent au logis sur les épaules des policemen.
82	II	Passepartout, voulant avant tout pouvoir respecter son maître, risqua quelques respectueuses observations qui furent mal reçues, et il rompit.
82	II	Il apprit, sur les entrefaites, que Phileas Fogg, esq., cherchait un domestique.
82	II	Il prit des renseignements sur ce gentleman.
82	II	Un personnage dont l'existence était si régulière, qui ne découchait pas, qui ne voyageait pas, qui ne s'absentait jamais, pas même un jour, ne pouvait que lui convenir.
82	II	Il se présenta et fut admis dans les circonstances que l'on sait.
83	II	Passepartout--onze heures et demie étant sonnées--se trouvait donc seul dans la maison de Saville-row.
83	II	Aussitôt il en commença l'inspection.
83	II	Il la parcourut de la cave au grenier.
83	II	Cette maison propre, rangée, sévère, puritaine, bien organisée pour le service, lui plut.
83	II	Elle lui fit l'effet d'une belle coquille de colimaçon, mais d'une coquille éclairée et chauffée au gaz, car l'hydrogène carburé y suffisait à tous les besoins de lumière et de chaleur.
83	II	Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.
83	II	Elle lui convint.
83	II	Des timbres électriques et des tuyaux acoustiques la mettaient en communication avec les appartements de l'entresol et du premier étage.
83	II	Sur la cheminée, une pendule électrique correspondait avec la pendule de la chambre à coucher de Phileas Fogg, et les deux appareils battaient au même instant, la même seconde.
84	II	«Cela me va, cela me va!»
84	II	se dit Passepartout.
85	II	Il remarqua aussi, dans sa chambre, une notice affichée au-dessus de la pendule.
85	II	C'était le programme du service quotidien.
85	II	Il comprenait--depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu'à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform-Club--tous les détails du service, le thé et les rôties de huit heures vingt-trois, l'eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt, etc.
85	II	Puis de onze heures et demie du matin à minuit--heure à laquelle se couchait le méthodique gentleman--, tout était noté, prévu, régularisé.
85	II	Passepartout se fit une joie de méditer ce programme et d'en graver les divers articles dans son esprit.
86	II	Quant à la garde-robe de monsieur, elle était fort bien montée et merveilleusement comprise.
86	II	Chaque pantalon, habit ou gilet portait un numéro d'ordre reproduit sur un registre d'entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.
86	II	Même réglementation pour les chaussures.
87	II	En somme, dans cette maison de Saville-row qui devait être le temple du désordre à l'époque de l'illustre mais dissipé Sheridan--, ameublement confortable, annonçant une belle aisance.
87	II	Pas de bibliothèque, pas de livres, qui eussent été sans utilité pour Mr.
87	II	Fogg, puisque le Reform-Club mettait à sa disposition deux bibliothèques, l'une consacrée aux lettres, l'autre au droit et à la politique.
87	II	Dans la chambre à coucher, un coffre-fort de moyenne grandeur, que sa construction défendait aussi bien de l'incendie que du vol.
87	II	Point d'armes dans la maison, aucun ustensile de chasse ou de guerre.
87	II	Tout y dénotait les habitudes les plus pacifiques.
88	II	Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s'épanouit, et il répéta joyeusement:
89	II	«Cela me va!
89	II	voilà mon affaire!
89	II	Nous nous entendrons parfaitement, Mr.
89	II	Fogg et moi!
89	II	Un homme casanier et régulier!
89	II	Une véritable mécanique!
89	II	Eh bien, je ne suis pas fâché de servir une mécanique!»
90	III	III
91	III	OÙ S'ENGAGE UNE CONVERSATION QUI POURRA COUTER CHER À PHILEAS FOGG
92	III	Phileas Fogg avait quitté sa maison de Saville-row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform-Club, vaste édifice, élevé dans Pall-Mall, qui n'a pas coûté moins de trois millions à bâtir.
93	III	Phileas Fogg se rendit aussitôt à la salle à manger, dont les neuf fenêtres s'ouvraient sur un beau jardin aux arbres déjà dorés par l'automne.
93	III	Là, il prit place à la table habituelle où son couvert l'attendait.
93	III	Son déjeuner se composait d'un hors-d'oeuvre, d'un poisson bouilli relevé d'une «reading sauce» de premier choix, d'un roastbeef écarlate agrémenté de condiments «mushroom», d'un gâteau farci de tiges de rhubarbe et de groseilles vertes, d'un morceau de chester,--le tout arrosé de quelques tasses de cet excellent thé, spécialement recueilli pour l'office du Reform-Club.
94	III	À midi quarante-sept, ce gentleman se leva et se dirigea vers le grand salon, somptueuse pièce, ornée de peintures richement encadrées.
94	III	Là, un domestique lui remit le _Times_ non coupé, dont Phileas Fogg opéra le laborieux dépliage avec une sûreté de main qui dénotait une grande habitude de cette difficile opération.
94	III	La lecture de ce journal occupa Phileas Fogg jusqu'à trois heures quarante-cinq, et celle du Standard--qui lui succéda--dura jusqu'au dîner.
94	III	Ce repas s'accomplit dans les mêmes conditions que le déjeuner, avec adjonction de «royal british sauce».
95	III	À six heures moins vingt, le gentleman reparut dans le grand salon et s'absorba dans la lecture du _Morning Chronicle_.
96	III	Une demi-heure plus tard, divers membres du Reform-Club faisaient leur entrée et s'approchaient de la cheminée, où brûlait un feu de houille.
96	III	C'étaient les partenaires habituels de Mr.
96	III	Phileas Fogg, comme lui enragés joueurs de whist: l'ingénieur Andrew Stuart, les banquiers John Sullivan et Samuel Fallentin, le brasseur Thomas Flanagan, Gauthier Ralph, un des administrateurs de la Banque d'Angleterre,--personnages riches et considérés, même dans ce club qui compte parmi ses membres les sommités de l'industrie et de la finance.
97	III	«Eh bien, Ralph, demanda Thomas Flanagan, où en est cette affaire de vol?
98	III	--Eh bien, répondit Andrew Stuart, la Banque en sera pour son argent.
99	III	--J'espère, au contraire, dit Gauthier Ralph, que nous mettrons la main sur l'auteur du vol.
99	III	Des inspecteurs de police, gens fort habiles, ont été envoyés en Amérique et en Europe, dans tous les principaux ports d'embarquement et de débarquement, et il sera difficile à ce monsieur de leur échapper.
100	III	--Mais on a donc le signalement du voleur?
100	III	demanda Andrew Stuart.
101	III	--D'abord, ce n'est pas un voleur, répondit sérieusement Gauthier Ralph.
102	III	--Comment, ce n'est pas un voleur, cet individu qui a soustrait cinquante-cinq mille livres en bank-notes (1 million 375 000 francs)?
103	III	--Non, répondit Gauthier Ralph.
104	III	--C'est donc un industriel?
104	III	dit John Sullivan.
105	III	--Le _Morning Chronicle_ assure que c'est un gentleman.»
106	III	Celui qui fit cette réponse n'était autre que Phileas Fogg, dont la tête émergeait alors du flot de papier amassé autour de lui.
106	III	En même temps, Phileas Fogg salua ses collègues, qui lui rendirent son salut.
107	III	Le fait dont il était question, que les divers journaux du Royaume-Uni discutaient avec ardeur, s'était accompli trois jours auparavant, le 29 septembre.
107	III	Une liasse de bank-notes, formant l'énorme somme de cinquante-cinq mille livres, avait été prise sur la tablette du caissier principal de la Banque d'Angleterre.
108	III	À qui s'étonnait qu'un tel vol eût pu s'accomplir aussi facilement, le sous-gouverneur Gauthier Ralph se bornait à répondre qu'à ce moment même, le caissier s'occupait d'enregistrer une recette de trois shillings six pence, et qu'on ne saurait avoir l'oeil à tout.
109	III	Mais il convient de faire observer ici--ce qui rend le fait plus explicable--que cet admirable établissement de «Bank of England» paraît se soucier extrêmement de la dignité du public.
109	III	Point de gardes, point d'invalides, point de grillages!
109	III	L'or, l'argent, les billets sont exposés librement et pour ainsi dire à la merci du premier venu.
109	III	On ne saurait mettre en suspicion l'honorabilité d'un passant quelconque.
109	III	Un des meilleurs observateurs des usages anglais raconte même ceci: Dans une des salles de la Banque où il se trouvait un jour, il eut la curiosité de voir de plus près un lingot d'or pesant sept à huit livres, qui se trouvait exposé sur la tablette du caissier; il prit ce lingot, l'examina, le passa à son voisin, celui-ci à un autre, si bien que le lingot, de main en main, s'en alla jusqu'au fond d'un corridor obscur, et ne revint qu'une demi-heure après reprendre sa place, sans que le caissier eût seulement levé la tête.
110	III	Mais, le 29 septembre, les choses ne se passèrent pas tout à fait ainsi.
110	III	La liasse de bank-notes ne revint pas, et quand la magnifique horloge, posée au-dessus du «drawing-office», sonna à cinq heures la fermeture des bureaux, la Banque d'Angleterre n'avait plus qu'à passer cinquante-cinq mille livres par le compte de profits et pertes.
111	III	Le vol bien et dûment reconnu, des agents, des «détectives», choisis parmi les plus habiles, furent envoyés dans les principaux ports, à Liverpool, à Glasgow, au Havre, à Suez, à Brindisi, à New York, etc., avec promesse, en cas de succès, d'une prime de deux mille livres (50 000 F) et cinq pour cent de la somme qui serait retrouvée.
111	III	En attendant les renseignements que devait fournir l'enquête immédiatement commencée, ces inspecteurs avaient pour mission d'observer scrupuleusement tous les voyageurs en arrivée ou en partance.
112	III	Or, précisément, ainsi que le disait le _Morning Chronicle_, on avait lieu de supposer que l'auteur du vol ne faisait partie d'aucune des sociétés de voleurs d'Angleterre.
112	III	Pendant cette journée du 29 septembre, un gentleman bien mis, de bonnes manières, l'air distingué, avait été remarqué, qui allait et venait dans la salle des paiements, théâtre du vol.
112	III	L'enquête avait permis de refaire assez exactement le signalement de ce gentleman, signalement qui fut aussitôt adressé à tous les détectives du Royaume-Uni et du continent quelques bons esprits--et Gauthier Ralph était du nombre--se croyaient donc fondés à espérer que le voleur n'échapperait pas.
113	III	Comme on le pense, ce fait était à l'ordre du jour à Londres et dans toute l'Angleterre.
113	III	On discutait, on se passionnait pour ou contre les probabilités du succès de la police métropolitaine.
113	III	On ne s'étonnera donc pas d'entendre les membres du Reform-Club traiter la même question, d'autant plus que l'un des sous-gouverneurs de la Banque se trouvait parmi eux.
114	III	L'honorable Gauthier Ralph ne voulait pas douter du résultat des recherches, estimant que la prime offerte devrait singulièrement aiguiser le zèle et l'intelligence des agents.
114	III	Mais son collègue, Andrew Stuart, était loin de partager cette confiance.
114	III	La discussion continua donc entre les gentlemen, qui s'étaient assis à une table de whist, Stuart devant Flanagan, Fallentin devant Phileas Fogg.
114	III	Pendant le jeu, les joueurs ne parlaient pas, mais entre les robres, la conversation interrompue reprenait de plus belle.
115	III	«Je soutiens, dit Andrew Stuart, que les chances sont en faveur du voleur, qui ne peut manquer d'être un habile homme!
116	III	--Allons donc!
116	III	répondit Ralph, il n'y a plus un seul pays dans lequel il puisse se réfugier.
117	III	--Par exemple!
118	III	--Où voulez-vous qu'il aille?
119	III	--Je n'en sais rien, répondit Andrew Stuart, mais, après tout, la terre est assez vaste.
120	III	--Elle l'était autrefois...», dit à mi-voix Phileas Fogg.
120	III	Puis: «À vous de couper, monsieur», ajouta-t-il en présentant les cartes à Thomas Flanagan.
121	III	La discussion fut suspendue pendant le robre.
121	III	Mais bientôt Andrew Stuart la reprenait, disant:
122	III	«Comment, autrefois!
122	III	Est-ce que la terre a diminué, par hasard?
123	III	--Sans doute, répondit Gauthier Ralph.
123	III	Je suis de l'avis de Mr.
123	III	Fogg.
123	III	La terre a diminué, puisqu'on la parcourt maintenant dix fois plus vite qu'il y a cent ans.
123	III	Et c'est ce qui, dans le cas dont nous nous occupons, rendra les recherches plus rapides.
124	III	--Et rendra plus facile aussi la fuite du voleur!
125	III	--À vous de jouer, monsieur Stuart!»
125	III	dit Phileas Fogg.
126	III	Mais l'incrédule Stuart n'était pas convaincu, et, la partie achevée:
127	III	«Il faut avouer, monsieur Ralph, reprit-il, que vous avez trouvé là une manière plaisante de dire que la terre a diminué!
127	III	Ainsi parce qu'on en fait maintenant le tour en trois mois...
128	III	--En quatre-vingts jours seulement, dit Phileas Fogg.
129	III	--En effet, messieurs, ajouta John Sullivan, quatre-vingts jours, depuis que la section entre Rothal et Allahabad a été ouverte sur le «Great-Indian peninsular railway», et voici le calcul établi par le _Morning Chronicle_:
130	III	De Londres à Suez par le Mont-Cenis
131	III	et Brindisi, railways et paquebots:
132	III	7 jours.
133	III	De Suez à Bombay, paquebot:
134	III	13 jours.
135	III	De Bombay à Calcutta, railway:
136	III	3 jours.
137	III	De Calcutta à Hong-Kong (Chine), paquebot:
138	III	13 jours.
139	III	De Hong-Kong à Yokohama (Japon), paquebot:
140	III	6 jours.
141	III	De Yokohama à San Francisco, paquebot:
142	III	22 jours.
143	III	De San Francisco New York, rail-road:
144	III	7 jours.
145	III	De New York à Londres, paquebot et railway:
146	III	9 jours.
147	III	Total:
148	III	80 jours.
149	III	--Oui, quatre-vingts jours!
149	III	s'écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.
150	III	--Tout compris, répondit Phileas Fogg en continuant de jouer, car, cette fois, la discussion ne respectait plus le whist.
151	III	--Même si les Indous ou les Indiens enlèvent les rails!
151	III	s'écria Andrew Stuart, s'ils arrêtent les trains, pillent les fourgons, scalpent les voyageurs!
152	III	--Tout compris», répondit Phileas Fogg, qui, abattant son jeu, ajouta: «Deux atouts maîtres.»
153	III	Andrew Stuart, à qui c'était le tour de «faire», ramassa les cartes en disant:
154	III	«Théoriquement, vous avez raison, monsieur Fogg, mais dans la pratique...
155	III	--Dans la pratique aussi, monsieur Stuart.
156	III	--Je voudrais bien vous y voir.
157	III	--Il ne tient qu'à vous.
157	III	Partons ensemble.
158	III	--Le Ciel m'en préserve!
158	III	s'écria Stuart, mais je parierais bien quatre mille livres (100 000 F) qu'un tel voyage, fait dans ces conditions, est impossible.
159	III	--Très possible, au contraire, répondit Mr.
159	III	Fogg.
160	III	--Eh bien, faites-le donc!
161	III	--Le tour du monde en quatre-vingts jours?
162	III	--Oui.
163	III	--Je le veux bien.
164	III	--Quand?
165	III	--Tout de suite.
166	III	--C'est de la folie!
166	III	s'écria Andrew Stuart, qui commençait à se vexer de l'insistance de son partenaire.
166	III	Tenez!
166	III	jouons plutôt.
167	III	--Refaites alors, répondit Phileas Fogg, car il y a maldonne.»
168	III	Andrew Stuart reprit les cartes d'une main fébrile; puis, tout à coup, les posant sur la table:
169	III	«Eh bien, oui, monsieur Fogg, dit-il, oui, je parie quatre mille livres!...
170	III	--Mon cher Stuart, dit Fallentin, calmez-vous.
170	III	Ce n'est pas sérieux.
171	III	--Quand je dis: je parie, répondit Andrew Stuart, c'est toujours sérieux.
172	III	--Soit!»
172	III	dit Mr.
172	III	Fogg.
172	III	Puis, se tournant vers ses collègues:
173	III	«J'ai vingt mille livres (500 000 F) déposées chez Baring frères.
173	III	Je les risquerai volontiers...
174	III	--Vingt mille livres!
174	III	s'écria John Sullivan.
174	III	Vingt mille livres qu'un retard imprévu peut vous faire perdre!
175	III	--L'imprévu n'existe pas, répondit simplement Phileas Fogg.
176	III	--Mais, monsieur Fogg, ce laps de quatre-vingts jours n'est calculé que comme un minimum de temps!
177	III	--Un minimum bien employé suffit à tout.
178	III	--Mais pour ne pas le dépasser, il faut sauter mathématiquement des railways dans les paquebots, et des paquebots dans les chemins de fer!
179	III	--Je sauterai mathématiquement.
